date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2024-12-31","901.8","902.68","889.47","891.32","891.32","1875900","1875900","-10.48","-1.16","896.3175","December 31, 24","-0.0116",
"2024-12-30","894.51","908.23","889.71","900.43","900.43","2203000","2203000","5.92","0.66181","898.22","December 30, 24","0.0066181",
"2024-12-27","916.01","918.13","894.5","907.55","907.55","3226200","3226200","-8.46","-0.92357","909.0475","December 27, 24","-0.0092357",
"2024-12-26","928.4","930.49","915.3","924.14","924.14","2342418","2342418","-4.26","-0.45885","924.5825","December 26, 24","-0.0045885",
"2024-12-24","915","935.85","911.7","932.12","932.12","2320300","2320300","17.12","1.87","923.6675","December 24, 24","0.0187",
"2024-12-23","913.42","915","899.1","911.45","911.45","2339400","2339400","-1.97","-0.21567","909.7425","December 23, 24","-0.0021567",
"2024-12-20","893.21","919.92","890.49","909.05","909.05","4530519","4530519","15.84","1.77","903.1675","December 20, 24","0.0177",
"2024-12-19","908.18","912.62","899","902.04","902.04","2815512","2815512","-6.14","-0.67608","905.46","December 19, 24","-0.0067608",
"2024-12-18","919.13","922.44","886.56","889.55","889.55","2938200","2938200","-29.58","-3.22","904.42","December 18, 24","-0.0322",
"2024-12-17","921.54","928.45","916.42","919.13","919.13","2459500","2459500","-2.41","-0.26152","921.385","December 17, 24","-0.0026152",
"2024-12-16","923.94","928.94","919.5","921.08","921.08","2674900","2674900","-2.86","-0.30954","923.365","December 16, 24","-0.0030954",
"2024-12-13","916.81","925.55","909.61","918.87","918.87","2485829","2485829","2.06","0.22469","917.71","December 13, 24","0.0022469",
"2024-12-12","933.35","934.09","922.6","925.55","925.55","2486200","2486200","-7.8","-0.8357","928.8975","December 12, 24","-0.008357",
"2024-12-11","924.71","941.75","923.08","936.56","936.56","3501700","3501700","11.85","1.28","931.525","December 11, 24","0.0128",
"2024-12-10","913.76","922.88","909.58","913.35","913.35","2388600","2388600","-0.41","-0.04486955","914.8925","December 10, 24","-0.0004486955",
"2024-12-09","928","930.3","902.59","913.69","913.69","3350100","3350100","-14.31","-1.54","918.645","December 09, 24","-0.0154",
"2024-12-06","915.23","935.27","912.71","934.74","934.74","2955400","2955400","19.51","2.13","924.4875","December 06, 24","0.0213",
"2024-12-05","917.85","927","911.11","917.87","917.87","2835307","2835307","0.02","0.00217901","918.4575","December 05, 24","0.0000217901",
"2024-12-04","898.05","915.97","898.05","911.06","911.06","2717981","2689629","13.01","1.45","905.7825","December 04, 24","0.0145",
"2024-12-03","894.36","902.69","888.03","902.17","902.17","2401634","2401634","7.81","0.87325","896.8125","December 03, 24","0.0087325",
"2024-12-02","887.51","902.34","884.12","897.74","897.74","2389000","2389000","10.23","1.15","892.9275","December 02, 24","0.0115",
"2024-11-29","882.17","892.41","876.68","886.81","886.81","2027237","2027237","4.64","0.52598","884.5175","November 29, 24","0.0052598",
"2024-11-27","872.06","880.95","858.91","877.34","877.34","2578222","2578222","5.28","0.60546","872.315","November 27, 24","0.0060546",
"2024-11-26","867.49","886.36","867.25","872.6","872.6","3138300","3138300","5.11","0.58906","873.425","November 26, 24","0.0058906",
"2024-11-25","902.05","902.05","864.22","865.59","865.59","6014203","6014203","-36.46","-4.04","883.4775","November 25, 24","-0.0404",
"2024-11-22","896","906","893","897.79","897.79","3214020","3214020","1.79","0.19978","898.1975","November 22, 24","0.0019978",
"2024-11-21","883.93","908","877.24","897.48","897.48","4511300","4511300","13.55","1.53","891.6625","November 21, 24","0.0153",
"2024-11-20","879.98","890.6","868.4","883.85","883.85","4093843","4093843","3.87","0.43978","880.7075","November 20, 24","0.0043978",
"2024-11-19","839.75","874.49","839.16","871.32","871.32","3814227","3814227","31.57","3.76","856.18","November 19, 24","0.0376",
"2024-11-18","815.5","848.45","809.33","847.05","847.05","4084100","4084100","31.55","3.87","830.0825","November 18, 24","0.0387",
"2024-11-15","832.04","832.04","816.49","823.96","823.96","3673720","3673720","-8.08","-0.97111","826.1325","November 15, 24","-0.0097111",
"2024-11-14","833.67","841","830.02","837.26","837.26","3038231","3038231","3.59","0.43063","835.4875","November 14, 24","0.0043063",
"2024-11-13","822.62","836.99","820.54","830.47","830.47","2767800","2767800","7.86","0.95427","827.655","November 13, 24","0.0095427",
"2024-11-12","807.5","820.37","803.75","819.5","819.5","2814100","2814100","12","1.49","812.78","November 12, 24","0.0149",
"2024-11-11","795.9","806.82","795.57","805.44","805.44","2399200","2399200","9.54","1.2","800.9325","November 11, 24","0.012",
"2024-11-08","797.36","799.06","788.65","795.04","795.04","1910626","1910626","-2.32","-0.29096","795.0275","November 08, 24","-0.0029096",
"2024-11-07","781.37","798.22","779.94","796.54","796.54","3295100","3295100","15.17","1.94","789.0175","November 07, 24","0.0194",
"2024-11-06","771.5","781.49","757.38","780.21","780.21","3690817","3690817","8.71","1.13","772.645","November 06, 24","0.0113",
"2024-11-05","757.35","767.53","756.27","763.91","763.91","2200645","2200645","6.56","0.86618","761.265","November 05, 24","0.0086618",
"2024-11-04","753.14","762.48","749.69","755.51","755.51","1902200","1902200","2.37","0.31468","755.205","November 04, 24","0.0031468",
"2024-11-01","753.48","763.8","747.77","756.1","756.1","2996829","2996829","2.62","0.34772","755.2875","November 01, 24","0.0034772",
"2024-10-31","753.93","760.79","752.23","756.03","756.03","3057709","3057709","2.1","0.27854","755.745","October 31, 24","0.0027854",
"2024-10-30","758.08","759.79","752.28","753.74","753.74","1722002","1722002","-4.34","-0.5725","755.9725","October 30, 24","-0.005725",
"2024-10-29","751.13","763.88","748.01","759.44","759.44","3660433","3660433","8.31","1.11","755.615","October 29, 24","0.0111",
"2024-10-28","758.68","758.68","747.88","749.12","749.12","2862405","2862405","-9.56","-1.26","753.59","October 28, 24","-0.0126",
"2024-10-25","756.17","768.5","753.53","754.68","754.68","2819500","2819500","-1.49","-0.19705","758.22","October 25, 24","-0.0019705",
"2024-10-24","751.97","755.82","746.25","754.55","754.55","2643000","2643000","2.58","0.3431","752.1475","October 24, 24","0.003431",
"2024-10-23","762.83","763.79","744.26","749.29","749.29","3749007","3749007","-13.54","-1.77","755.0425","October 23, 24","-0.0177",
"2024-10-22","765.27","769.7","761.12","764.24","764.24","2987300","2987300","-1.03","-0.13459","765.0825","October 22, 24","-0.0013459",
"2024-10-21","765.76","773","756.6","772.07","772.07","6057100","6057100","6.31","0.82402","766.8575","October 21, 24","0.0082402",
"2024-10-18","737.64","766.28","736.23","763.89","763.89","15974119","15974119","26.25","3.56","751.01","October 18, 24","0.0356",
"2024-10-17","704.35","704.41","677.88","687.65","687.65","8926700","8926700","-16.7","-2.37","693.5725","October 17, 24","-0.0237",
"2024-10-16","703.43","705.59","697.82","702","702","2494300","2494300","-1.43","-0.20329","702.21","October 16, 24","-0.0020329",
"2024-10-15","712.51","713.4","699.78","705.98","705.98","2932800","2932800","-6.53","-0.91648","707.9175","October 15, 24","-0.0091648",
"2024-10-14","725","726.62","711.31","713","713","2797100","2797100","-12","-1.66","718.9825","October 14, 24","-0.0166",
"2024-10-11","734.9","736","721.22","722.79","722.79","2299525","2299525","-12.11","-1.65","728.7275","October 11, 24","-0.0165",
"2024-10-10","723.29","733.85","722.5","730.29","730.29","2767900","2767900","7","0.9678","727.4825","October 10, 24","0.009678",
"2024-10-09","719.25","728.59","718.87","727.43","727.43","1981100","1981100","8.18","1.14","723.535","October 09, 24","0.0114",
"2024-10-08","703.88","725.06","703.55","721.76","721.76","3187402","3187402","17.88","2.54","713.5625","October 08, 24","0.0254",
"2024-10-07","714.76","715.88","696.43","701.92","701.92","3360520","3360520","-12.84","-1.8","707.2475","October 07, 24","-0.018",
"2024-10-04","713.32","721.01","708.82","719.7","719.7","2230139","2230139","6.38","0.89441","715.7125","October 04, 24","0.0089441",
"2024-10-03","704.26","708.81","700","706.8","706.8","2256449","2256449","2.54","0.36066","704.9675","October 03, 24","0.0036066",
"2024-10-02","706.13","716.21","704.69","711.09","711.09","1758200","1758200","4.96","0.70242","709.53","October 02, 24","0.0070242",
"2024-10-01","713.64","717.76","698.59","706.13","706.13","2813500","2813500","-7.51","-1.05","709.03","October 01, 24","-0.0105",
"2024-09-30","707","711.21","702.82","709.27","709.27","1711508","1711508","2.27","0.32107","707.575","September 30, 24","0.0032107",
"2024-09-27","708.36","710.71","701.25","707.35","707.35","2395613","2395613","-1.01","-0.14258","706.9175","September 27, 24","-0.0014258",
"2024-09-26","724.73","725.26","701.72","711.43","711.43","2833000","2833000","-13.3","-1.84","715.785","September 26, 24","-0.0184",
"2024-09-25","721","725.12","716.21","721.56","721.56","2259800","2259800","0.56","0.0776699","720.9725","September 25, 24","0.000776699",
"2024-09-24","706.63","722.44","704.45","722.26","722.26","3565731","3565731","15.63","2.21","713.945","September 24, 24","0.0221",
"2024-09-23","702.39","712.25","699.16","705.37","705.37","3224344","3224344","2.98","0.42427","704.7925","September 23, 24","0.0042427",
"2024-09-20","705.55","706.67","696.31","701.03","701.03","3998100","3998100","-4.52","-0.64063","702.39","September 20, 24","-0.0064063",
"2024-09-19","705","715.66","695.37","704.32","704.32","4228500","4228500","-0.68","-0.0964539","705.0875","September 19, 24","-0.000964539",
"2024-09-18","707.55","707.55","688","690.47","690.47","2984411","2984411","-17.08","-2.41","698.3925","September 18, 24","-0.0241",
"2024-09-17","700.82","707.63","698.37","706.91","706.91","2298630","2298630","6.09","0.86898","703.4325","September 17, 24","0.0086898",
"2024-09-16","700","703.02","688.63","696.5","696.5","1843745","1843745","-3.5","-0.5","697.0375","September 16, 24","-0.005",
"2024-09-13","680.01","699.64","680","697.06","697.06","2276500","2276500","17.05","2.51","689.1775","September 13, 24","0.0251",
"2024-09-12","684.92","694.88","682.2","686.8","686.8","2588437","2588437","1.88","0.27448","687.2","September 12, 24","0.0027448",
"2024-09-11","677.46","682.97","660.8","681.47","681.47","2391924","2391924","4.01","0.59192","675.675","September 11, 24","0.0059192",
"2024-09-10","676.87","680.59","665.81","673.62","673.62","2079200","2079200","-3.25","-0.48015","674.2225","September 10, 24","-0.0048015",
"2024-09-09","674","683.5","672.14","675.42","675.42","2683111","2683111","1.42","0.21068","676.265","September 09, 24","0.0021068",
"2024-09-06","681.86","683.15","662.34","665.77","665.77","2991300","2991300","-16.09","-2.36","673.28","September 06, 24","-0.0236",
"2024-09-05","673.14","687.31","671.86","683.62","683.62","1810100","1810100","10.48","1.56","678.9825","September 05, 24","0.0156",
"2024-09-04","673.31","684.65","673.06","679.68","679.68","1785337","1785337","6.37","0.94607","677.675","September 04, 24","0.0094607",
"2024-09-03","700.1","703.86","671.01","675.32","675.32","3161000","3161000","-24.78","-3.54","687.5725","September 03, 24","-0.0354",
